sample_name	sample_type	replicate	read_r1
DS	csrna	1	test/DS_csRNA_1.fastq.gz
DS	csrna	2	test/DS_csRNA_2.fastq.gz
hen2	csrna	1	test/hen2_csRNA_1.fastq.gz
hen2	csrna	2	test/hen2_csRNA_2.fastq.gz
L26	csrna	1	test/L26_csRNA_1.fastq.gz
L26	csrna	2	test/L26_csRNA_2.fastq.gz
L57	csrna	1	test/L57_csRNA_1.fastq.gz
L57	csrna	2	test/L57_csRNA_2.fastq.gz
L6	csrna	1	test/L6_csRNA_1.fastq.gz
L6	csrna	2	test/L6_csRNA_2.fastq.gz
rrp4	csrna	1	test/rrp4_csRNA_1.fastq.gz
rrp4	csrna	2	test/rrp4_csRNA_2.fastq.gz
S24	csrna	1	test/S24_csRNA_1.fastq.gz
S24	csrna	2	test/S24_csRNA_2.fastq.gz
S72	csrna	1	test/S72_csRNA_1.fastq.gz
S72	csrna	2	test/S72_csRNA_2.fastq.gz
DS	input	1	test/DS_sRNA_1.fastq.gz
DS	input	2	test/DS_sRNA_2.fastq.gz
hen2	input	1	test/hen2_sRNA_1.fastq.gz
hen2	input	2	test/hen2_sRNA_2.fastq.gz
L26	input	1	test/L26_sRNA_1.fastq.gz
L26	input	2	test/L26_sRNA_2.fastq.gz
L57	input	1	test/L57_sRNA_1.fastq.gz
L57	input	2	test/L57_sRNA_2.fastq.gz
L6	input	1	test/L6_sRNA_1.fastq.gz
L6	input	2	test/L6_sRNA_2.fastq.gz
rrp4	input	1	test/rrp4_sRNA_1.fastq.gz
rrp4	input	2	test/rrp4_sRNA_2.fastq.gz
S24	input	1	test/S24_sRNA_1.fastq.gz
S24	input	2	test/S24_sRNA_2.fastq.gz
S72	input	1	test/S72_sRNA_1.fastq.gz
S72	input	2	test/S72_sRNA_2.fastq.gz
